bare_word	source_type_id	source_id	permanent_id
поезд	2	825	461514
сестра	2	828	881151
баба	2	832	844741
цветок	2	834	293331
дождь	2	835	729055
желание	2	836	205602
болезнь	2	837	600785
сосед	2	841	268814
пример	2	842	992368
дама	2	846	135298
орган	2	848	560596
поле	2	849	320013
ящик	2	850	234513
цена	2	851	592654
ах	2	856	698666
карта	2	857	311967
слава	2	858	410713
радость	2	859	563693
тень	2	861	716513
операция	2	863	646644
музыка	2	867	565100
завод	2	870	358326
лето	2	872	165592
станция	2	879	475613
повод	2	880	430301
воля	2	881	775634
литература	2	882	354138
дурак	2	885	659769
приказ	2	886	209616
гражданин	2	887	888275
крыша	2	890	985367
цвет	2	891	857626
статья	2	895	837470
круг	2	896	133404
факт	2	898	655007
бок	2	899	356621
стул	2	903	992343
лагерь	2	907	602641
войско	2	908	338836
удовольствие	2	910	781967
вино	2	911	681106
возраст	2	912	335495
лестница	2	915	674019
министр	2	917	458696
фронт	2	918	272121
Петербург	2	922	998278
сад	2	924	868641
задача	2	926	601609
мол	2	928	409081
темнота	2	932	103457
название	2	933	275617
большинство	2	936	589905
организация	2	937	701322
дым	2	938	288389
километр	2	940	253743
председатель	2	944	720861
прочее	2	947	487283
доллар	2	953	813249
выражение	2	955	659138
танк	2	958	648380
зима	2	961	763992
знак	2	962	200236
мозг	2	965	780981
учитель	2	966	240277
майор	2	969	159975
тишина	2	973	382428
кровать	2	974	302549
деятельность	2	976	149309
США	2	977	620347
рыба	2	978	327842
щека	2	979	334442
птица	2	980	378921
папа	2	985	313338
водка	2	987	539706
здание	2	988	114702
зеркало	2	990	590734
искусство	2	992	991122
начало	2	993	917549
вагон	2	997	209597
автомат	2	999	201884
милиция	2	1002	307525
срок	2	1003	685439
одежда	2	1006	993694
корабль	2	1008	845994
кулак	2	1009	449668
художник	2	1010	182749
курс	2	1011	800062
куст	2	1012	896656
состав	2	1013	601797
чудо	2	1018	478115
кусок	2	1020	940522
фирма	2	1024	284306
миллион	2	1025	786735
пространство	2	1027	374005
тема	2	1028	352955
линия	2	1034	333509
мешок	2	1036	488589
